127.0.0.1 - - [28/Feb/2017:12:53:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:28 +0530] "GET /ShoeRack/ HTTP/1.1" 200 10670
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:30 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:30 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:30 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:30 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:30 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:30 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:31 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:31 +0530] "GET /ShoeRack/Resources/Images/office.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:31 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:31 +0530] "GET /ShoeRack/Resources/Images/wedges.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:31 +0530] "GET /ShoeRack/Resources/Images/sports.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:31 +0530] "GET /ShoeRack/Resources/Images/travel_adventure.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:53:31 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:55:21 +0530] "GET /ShoeRack/ HTTP/1.1" 200 10670
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:55:22 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:55:22 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:55:22 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:55:23 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:55:23 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:55:23 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2017:12:55:23 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 304 -
