127.0.0.1 - - [01/Mar/2017:12:16:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:46 +0530] "GET /ShoeRack/ HTTP/1.1" 200 10670
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:47 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:47 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:47 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:47 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:47 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:47 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:47 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:48 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:48 +0530] "GET /ShoeRack/Resources/Images/office.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:48 +0530] "GET /ShoeRack/Resources/Images/wedges.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:48 +0530] "GET /ShoeRack/Resources/Images/sports.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:48 +0530] "GET /ShoeRack/Resources/Images/travel_adventure.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:16:48 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:41 +0530] "GET /ShoeRack/ HTTP/1.1" 200 10670
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:41 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:41 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/office.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/wedges.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/sports.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:42 +0530] "GET /ShoeRack/Resources/Images/travel_adventure.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:55 +0530] "GET /ShoeRack/admin/product/productform HTTP/1.1" 200 5348
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:55 +0530] "GET /ShoeRack/admin/product/Resources/Images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:55 +0530] "GET /ShoeRack/admin/product/Resources/Images/fi-male.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:55 +0530] "GET /ShoeRack/admin/product/Resources/Images/fi-female.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:17:55 +0530] "GET /ShoeRack/admin/product/Resources/Images/mainBanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:12:19:04 +0530] "POST /ShoeRack/admin/product/addProduct HTTP/1.1" 500 3708
